,group,names,scores,logfoldchanges,pvals,pvals_adj
227,COVID,LRP8,3.1532488,1.2571236,0.0017376336227079509,0.14553274567225308
228,COVID,CSNK1A1,3.1445057,0.9018259,0.0018179472132713052,0.1492190175321376
229,COVID,PTP4A3,3.1437469,1.6193229,0.0017829240864134157,0.14820889103402266
230,COVID,AC135048.1,3.1436286,25.37716,0.0017943862587888487,0.14836238905689125
231,COVID,CIRBP,3.1429958,0.48526025,0.0018576943826741263,0.1514111541117592
232,COVID,F13A1,3.1405697,1.5938096,0.0017980898215890402,0.14836238905689125
233,COVID,JARID2,3.140452,0.86582065,0.0018425979187993808,0.1505479086858653
234,COVID,RHOH,3.1284943,1.1960926,0.0018868840501698682,0.15304369976826815
235,COVID,MEIS1,3.1215644,25.376417,0.0019309030115328349,0.15548189382263314
236,COVID,RAB3A,3.1177254,25.44892,0.0019556110675963845,0.1567161991507635
237,COVID,RNASE3,3.1004891,25.291739,0.0020701794616607362,0.16349231987059698
238,COVID,CKAP4,3.0939026,2.2775192,0.002081854351338819,0.1636925337851513
239,COVID,IQCH-AS1,3.0927954,25.313965,0.0021232882368712597,0.16578019395216562
240,COVID,IRF1,3.0918338,0.8380338,0.0021643794263907805,0.1674237668789368
241,COVID,NUDT15,3.0862813,2.2888253,0.0021335481094132045,0.16580645854014198
242,COVID,STEAP4,3.0787592,25.30728,0.00222341832234426,0.17080452891443249
243,COVID,SIAH2,3.0710464,1.3258824,0.0022721536851101425,0.1732075875956102
244,COVID,OSBP2,3.0692794,25.356836,0.0022934835264379616,0.17418486137040312
245,COVID,KLF2,3.0637243,1.1189611,0.0023506506230074687,0.1769182249302716
246,COVID,ASAP2,3.0588713,1.677567,0.0023505781454963514,0.1769182249302716
247,COVID,ZNF350,3.0573385,2.0399601,0.0023483228071294916,0.1769182249302716
248,COVID,LGALS9,3.0402563,0.719195,0.0025736640334386197,0.19069652107631566
249,COVID,PPP1CA,3.0254161,0.7550063,0.0026822542288490844,0.19527862650424804
250,COVID,DSTN,3.023938,0.6474845,0.00271290143861321,0.1962273319786529
251,COVID,FAM117B,3.0220292,1.4020871,0.0026642766892193723,0.19527862650424804
252,COVID,NBAS,3.0168817,1.4783561,0.002700455199956742,0.1960408229695226
253,COVID,MINCR,3.0163796,2.3053956,0.0026797261947043493,0.19527862650424804
254,COVID,PAFAH1B3,3.0133786,2.3952863,0.002704456396114251,0.1960408229695226
255,COVID,AC097358.1,3.0118852,25.202457,0.002762855204816883,0.19940892522541204
256,COVID,SLC15A4,3.011318,0.48658746,0.0028492437925415597,0.2034469654174387
257,COVID,CSGALNACT2,3.0052674,0.9919604,0.0028461254215066734,0.2034469654174387
258,COVID,ARHGEF3,3.0046344,1.1159909,0.0028353948413908986,0.20337479885192086
259,COVID,ATP5S,2.9996307,1.2359707,0.002879133053234556,0.20470636008497695
260,COVID,FTL,2.9966257,0.368289,0.002988824911792122,0.2089488746388229
261,COVID,CENPN,2.9934452,25.053495,0.0029314097758028007,0.2071013117928165
262,COVID,MIR222HG,2.9910357,25.149393,0.0029541160946490496,0.208265184672758
263,COVID,RASA4CP,2.9898574,25.258717,0.0029652788451877887,0.20827322424904332
264,COVID,GBP2,2.9862583,1.5464414,0.002977904528978499,0.2086218776622107
265,COVID,ZNF831,2.9810438,25.166334,0.0030500106613975263,0.21101906060439157
266,COVID,CXCL3,2.9710107,25.291487,0.003149159379415879,0.2152054375908802
267,COVID,NR4A1,2.964405,1.464393,0.003199363609028895,0.21774568986337794
268,COVID,IRF2BP2,2.9635358,0.31395516,0.003331574975321677,0.22400652102680985
269,COVID,PHLDA1,2.9598742,25.23628,0.0032626581034187682,0.22025908250897977
270,COVID,MRPS26,2.9574988,2.2871115,0.003238494209543754,0.21996089634212118
271,COVID,PRAM1,2.9570758,1.9507642,0.0032522360513573103,0.22016089454829196
272,COVID,ZBTB16,2.9454021,25.247044,0.0034157416745166196,0.22818205443522988
273,COVID,H3F3B,2.9450593,0.21664388,0.0034996585235790344,0.23203985889373133
274,COVID,BRCA2,2.9405956,1.425239,0.0034707584072053055,0.23058118030532743
275,COVID,TCN2,2.931349,25.002628,0.003570648601015771,0.23542538857850132
276,COVID,IRS2,2.9257329,1.2305582,0.003634263921245417,0.23788062739778223
277,COVID,FPR1,2.925337,1.4550217,0.0036183362459279228,0.23755194956812062
278,COVID,AC114956.1,2.9241998,2.7950985,0.003597943505112138,0.2366781065164022
279,COVID,RPS9,2.9219317,0.42611104,0.003788097279987893,0.24343624385645274
280,COVID,TBC1D22B,2.9164011,2.790815,0.0036876512414596233,0.23974755162617942
281,COVID,ELF2,2.9157653,0.79180425,0.0038046615770557916,0.24403143170916197
282,COVID,PAX8-AS1,2.9059312,1.7420735,0.00383191009336332,0.2448392726384743
283,COVID,FUS,2.9031682,0.52222,0.004000869437382197,0.2508387504484069
284,COVID,METTL7B,2.8994062,25.117054,0.003946886174568341,0.2494275067798329
285,COVID,RAB20,2.8972213,2.2355945,0.003922682094252405,0.2494275067798329
286,COVID,HSF1,2.895874,1.9227836,0.0039464996872254215,0.2494275067798329
